Iterasyon,Reward,Eval_Reward,Steps
11,nan,0,0
5,nan,0,0
12,nan,0,0
6,nan,0,0
13,nan,0,0
1,nan,0,0
7,nan,0,0
2,nan,0,0
14,nan,0,0
8,nan,0,0
3,nan,0,0
15,nan,0,0
9,nan,0,0
4,nan,0,0
16,nan,0,0
5,nan,0,0
17,nan,0,0
10,-24769.06524697637,0,0
6,nan,0,0
18,nan,0,0
11,-24769.06524697637,0,0
7,nan,0,0
19,nan,0,0
12,-24769.06524697637,0,0
8,nan,0,0
20,nan,0,0
13,-24769.06524697637,0,0
9,nan,0,0
21,nan,0,0
14,-24769.06524697637,0,0
22,nan,0,0
15,-24769.06524697637,0,0
10,nan,0,0
23,nan,0,0
16,-24769.06524697637,0,0
11,nan,0,0
24,nan,0,0
17,-24769.06524697637,0,0
12,nan,0,0
25,nan,0,0
18,-24769.06524697637,0,0
13,nan,0,0
26,nan,0,0
19,-24769.06524697637,0,0
14,nan,0,0
27,nan,0,0
20,-24769.06524697637,0,0
15,nan,0,0
28,nan,0,0
21,-24769.06524697637,0,0
16,nan,0,0
29,nan,0,0
22,-24769.06524697637,0,0
17,nan,0,0
30,nan,0,0
23,-24769.06524697637,0,0
18,nan,0,0
31,nan,0,0
24,-24769.06524697637,0,0
19,nan,0,0
32,nan,0,0
25,-24769.06524697637,0,0
20,nan,0,0
33,nan,0,0
26,-24769.06524697637,0,0
21,nan,0,0
34,nan,0,0
27,-24769.06524697637,0,0
22,nan,0,0
35,nan,0,0
28,-24769.06524697637,0,0
23,nan,0,0
36,nan,0,0
29,-24769.06524697637,0,0
24,nan,0,0
37,nan,0,0
30,-24769.06524697637,0,0
25,nan,0,0
38,nan,0,0
31,-24769.06524697637,0,0
26,nan,0,0
39,nan,0,0
32,-24769.06524697637,0,0
27,nan,0,0
40,nan,0,0
33,-24769.06524697637,0,0
28,nan,0,0
41,nan,0,0
34,-24769.06524697637,0,0
29,nan,0,0
42,nan,0,0
35,-24769.06524697637,0,0
30,nan,0,0
43,nan,0,0
36,-24769.06524697637,0,0
31,nan,0,0
44,nan,0,0
37,-24769.06524697637,0,0
32,nan,0,0
45,nan,0,0
38,-24769.06524697637,0,0
33,nan,0,0
46,nan,0,0
39,-24769.06524697637,0,0
34,nan,0,0
47,nan,0,0
40,-24769.06524697637,0,0
35,nan,0,0
48,nan,0,0
41,-24769.06524697637,0,0
36,nan,0,0
49,nan,0,0
42,-24769.06524697637,0,0
37,nan,0,0
50,nan,0,0
43,-24769.06524697637,0,0
38,nan,0,0
44,-24769.06524697637,0,0
39,nan,0,0
45,-24769.06524697637,0,0
40,nan,0,0
46,-24769.06524697637,0,0
41,nan,0,0
47,-24769.06524697637,0,0
42,nan,0,0
48,-24769.06524697637,0,0
43,nan,0,0
49,-24769.06524697637,0,0
44,nan,0,0
50,-24769.06524697637,0,0
45,nan,0,0
46,nan,0,0
47,nan,0,0
48,nan,0,0
49,nan,0,0
50,nan,0,0
